,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Gilbert Wimple,0.0020964360587002098,1,0.0,0.0020964360587002098,3.0162896329338817e-19,0.0020920502092050207
Daphne Greengrass,0.006289308176100629,3,0.0,0.424916025656013,0.006260546662654373,0.0003280926984229138
Vindictus Viridian,0.0041928721174004195,2,0.0,0.4253112963775535,0.0050322067188592464,0.00032073241086653985
Elfrida Cragg,0.0041928721174004195,2,0.0,0.33059265625876355,0.0021315695382001813,0.00034532614900287283
Eleanor Branstone,0.008385744234800839,4,0.0001223894931568955,0.346896542948308,0.005228170174726228,0.0004815641251132727
Egbert the Egregious,0.006289308176100629,3,0.005965059463325632,0.4297083116596523,0.004521685825523821,0.0005970255932741376
Cliodna,0.0041928721174004195,2,0.0,0.4245214889562396,0.005042196416354681,0.0003281711193369831
Morag MacDougal,0.0020964360587002098,1,0.0,0.3429929809496399,0.002642199935465275,0.000316622275375932
Marjorie Dursley,0.0041928721174004195,2,0.0,0.424916025656013,0.005444043167792279,0.0003200000866709559
Prentice,0.0020964360587002098,1,0.0,0.42412768423550096,0.00412673807741724,0.0003167491674272105
Augusta Longbottom,0.0041928721174004195,2,0.0,0.424916025656013,0.006584980366495764,0.00031968130102201416
Arkie Philpott,0.0020964360587002098,1,0.0,0.3301152661414224,0.0019514152759716806,0.0003171883904627998
Arsenius Jigger,0.0020964360587002098,1,0.0,0.19106128023646887,1.960088546286019e-07,0.0008968820377634214
Archie Aymslowe,0.0041928721174004195,2,0.0,0.4280989172339607,0.007772722390392247,0.0003194571984227251
Angus Fleet,0.0020964360587002098,1,0.0,0.0020964360587002098,3.0162896329338817e-19,0.0020920502092050207
Hetty Bayliss,0.0020964360587002098,1,0.0,0.0020964360587002098,3.0162896329338817e-19,0.0020920502092050207
Apollyon Pringle,0.0041928721174004195,2,0.0,0.42610404809493946,0.00615742131654082,0.00031984707141299623
Araminta Meliflua Black,0.0020964360587002098,1,0.0,0.32197862225765495,0.0012243627531535327,0.0003175564896931063
Janus Thickey,0.0020964360587002098,1,0.0,0.3471599419938269,0.0026988426446323413,0.0003167678095933171
Natalie McDonald,0.0020964360587002098,1,0.0,0.3474237413418465,0.002689137754126032,0.0003172588150293276
Gladys Gudgeon,0.0041928721174004195,2,0.0,0.4253112963775535,0.0056242245776560226,0.0003206623300806968
Binky,0.0041928721174004195,2,0.0,0.32611244194427247,0.0025058682753234425,0.00032105950839604743
Bertram Aubrey,0.006289308176100629,3,0.0,0.36029128731747045,0.006307812704924684,0.0003228832675442949
Barnabas Cuffe,0.0020964360587002098,1,0.0,0.33035378873256505,0.0018387952856014221,0.0003178371130553665
Joey Jenkins,0.0020964360587002098,1,0.0,0.42412768423550096,0.00412673807741724,0.0003167491674272105
Marsh,0.0020964360587002098,1,0.0,0.42412768423550096,0.00412673807741724,0.0003167491674272105
Graham Pritchard,0.0020964360587002098,1,0.0,0.19226646072576536,2.8712589621521714e-07,0.0009844934734821132
Golgomath,0.0041928721174004195,2,0.0,0.38260221222248536,0.006455949704754379,0.0003194163766682844
Basil,0.0020964360587002098,1,0.0,0.3419668239385715,0.0024762124929878803,0.0003167444353495164
