,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Salazar Slytherin,0.3595505617977528,190,0.025379456919311726,0.5973154362416108,0.16971064666723884,0.011395099608974144
Ginevra Weasley,0.12359550561797752,80,0.0018665176638655158,0.5174418604651163,0.06707570979304743,0.004404373799590873
James Potter I,0.12359550561797752,140,0.00021321035110616319,0.5085714285714286,0.06935581885466033,0.006239743226822018
Lily J. Potter,0.10112359550561797,86,1.9643278070244363e-05,0.5028248587570622,0.06099310765454579,0.004448654283957938
Lavender Brown,0.11235955056179775,92,0.011306926989946876,0.5114942528735632,0.06258164792787288,0.006365778228379436
Parvati Patil,0.11235955056179775,75,0.011139170494454996,0.5085714285714286,0.06267926895691354,0.005590541099381978
Penelope Clearwater,0.06741573033707865,53,8.111518356065613e-05,0.49444444444444446,0.04663754986728257,0.0038537303168325967
Petunia Dursley,0.0449438202247191,70,0.005410293535793158,0.4810810810810811,0.01540984569004623,0.005726748491747083
Errol,0.07865168539325842,62,0.00028819495111629946,0.4972067039106145,0.04960792092891651,0.0036903963382033667
Dudley Dursley,0.0449438202247191,64,0.0002766428328226081,0.4810810810810811,0.020361900084043864,0.004808139107638181
Rowena Ravenclaw,0.23595505617977527,109,0.005632628769301923,0.5527950310559007,0.12399988602897298,0.0067505058841393125
Cedric Diggory,0.11235955056179775,41,0.0004286064358241851,0.5085714285714286,0.05978948608616683,0.0032438313749261847
Father Christmas,0.21348314606741572,69,0.004479422683524682,0.5426829268292683,0.12703162033655982,0.003879843675180303
Rolanda Hooch,0.21348314606741572,70,0.005902478082227206,0.536144578313253,0.1033521573721324,0.005102322499789905
Filius Flitwick,0.21348314606741572,54,0.002575147052710083,0.5460122699386503,0.12477443534007808,0.003551018235678683
Angelina Johnson,0.1797752808988764,90,0.0038462266661336737,0.52046783625731,0.08057384605033518,0.006697723924017795
Lucius Malfoy,0.1348314606741573,58,0.0005416311717808758,0.52046783625731,0.08651538839908503,0.003503351738855868
Helga Hufflepuff,0.15730337078651685,50,0.0074581276617788055,0.52046783625731,0.08595889642905656,0.004637691770890261
Walden Macnair,0.07865168539325842,49,0.0,0.5028248587570622,0.061411741669824285,0.0031332767418190332
Argus Filch,0.15730337078651685,57,0.0020096927529683318,0.5297619047619048,0.09729601254419162,0.004098021414853791
Lucian Bole,0.1348314606741573,38,0.00013649102004566766,0.5085714285714286,0.07263919687938832,0.004032703907714487
Peregrine Derrick,0.11235955056179775,30,6.577521899278795e-05,0.5028248587570622,0.060768456070659595,0.003560777931702744
Katie Bell,0.15730337078651685,66,0.002009678229806501,0.5144508670520231,0.07210160837253655,0.005070101153964572
Fat Lady,0.15730337078651685,48,0.0012677590923700398,0.5329341317365269,0.0980326753330794,0.003599242635836529
Cadogan,0.10112359550561797,23,0.0003477185772294827,0.5114942528735632,0.0644131377279631,0.0024549750573022496
Arthur Weasley,0.07865168539325842,23,0.0005456855878204193,0.5,0.04503691541455201,0.0024698425736310575
Seamus Finnigan,0.14606741573033707,40,0.0014155214358866873,0.5297619047619048,0.08882631199477352,0.0033539476570813263
Alicia Spinnet,0.1797752808988764,69,0.003130318557464085,0.5266272189349113,0.090114464549386,0.005440083355824373
Colin Creevey,0.011235955056179775,8,0.0,0.4708994708994709,0.012213579597161052,0.0019003103959311964
Marcus Flint,0.15730337078651685,50,0.0010203000998680865,0.5174418604651163,0.08455734527922312,0.004031429248622766
Fang,0.056179775280898875,20,0.0,0.49171270718232046,0.04482389344355671,0.0022272456398422773
Dean Thomas,0.16853932584269662,36,0.003211802100974726,0.5297619047619048,0.09358305708365415,0.003187249627913242
Florean Fortescue,0.033707865168539325,10,0.0,0.483695652173913,0.032632840413538394,0.001949380638462231
Merlin,0.056179775280898875,12,0.0,0.43842364532019706,0.03601787349117716,0.002004276629454599
Rosmerta,0.06741573033707865,12,1.824018677951262e-05,0.49444444444444446,0.04869734660665267,0.002020425857319739
Lee Jordan,0.14606741573033707,29,0.0017192851523558019,0.5114942528735632,0.07405623563729227,0.0031585801536162137
Peeves,0.06741573033707865,22,0.00043612754286911584,0.4972067039106145,0.043328502777169334,0.002796787636221128
Graham Montague,0.06741573033707865,15,4.256043581886278e-05,0.41203703703703703,0.02970458686161256,0.0025258894506829626
Hermes,0.02247191011235955,6,0.0,0.3755274261603376,0.008732674352325854,0.0019758009562166425
William Weasley,0.056179775280898875,10,0.0,0.489010989010989,0.038178631145278016,0.0020279596649021778
Pansy Parkinson,0.06741573033707865,11,4.216702002557918e-05,0.489010989010989,0.0422994008865605,0.0020313525785213195
Cassandra Vablatsky,0.011235955056179775,3,0.0,0.4708994708994709,0.012213579597161052,0.0017542830651408655
Cassius Warrington,0.056179775280898875,8,0.0,0.3991031390134529,0.02684010169288732,0.00210354727987333
Roger Davies,0.033707865168539325,4,0.0,0.478494623655914,0.022635716224493,0.0018335649096734594
Silvanus Kettleburn,0.033707865168539325,5,0.0,0.4258373205741627,0.023764363355921265,0.0018233622650335206
Ripper,0.02247191011235955,3,0.0,0.47593582887700536,0.014444713259449762,0.0018070482841527826
Mrs Norris,0.0449438202247191,4,0.00012342526387470207,0.483695652173913,0.0254551378511553,0.0018965978481401025
Derek,0.02247191011235955,2,0.0,0.40454545454545454,0.015110478305422304,0.0017257983343319475
Pomona Sprout,0.0898876404494382,8,2.128021790943139e-05,0.5028248587570622,0.0632920280123763,0.0019591981198707805
Bathilda Bagshot,0.011235955056179775,1,0.0,0.4708994708994709,0.012213579597161052,0.0016958721328247332
Binky,0.02247191011235955,2,0.0,0.3423076923076923,0.005203411632151452,0.001788834839141449
Bilius,0.02247191011235955,2,0.0,0.4320388349514563,0.020419260816377342,0.0017204072540902503
Wendelin the Weird,0.02247191011235955,2,0.0,0.47593582887700536,0.014879088536179792,0.0017589014907690808
Marjorie Dursley,0.02247191011235955,2,0.0,0.47593582887700536,0.014879088536179792,0.0017589014907690808
Ernest Prang,0.011235955056179775,1,0.0,0.3662551440329218,0.006271688069361868,0.001703078767143209
Fubster,0.02247191011235955,2,0.0,0.3423076923076923,0.0028712750864113477,0.0017917979742654586
Hannah Abbott,0.02247191011235955,2,0.0,0.39555555555555555,0.011905540984953396,0.0017732424015237367
Charles Weasley,0.0449438202247191,4,0.0,0.49171270718232046,0.0386851432927876,0.001808395908831916
Sorting Hat,0.011235955056179775,1,0.0,0.41203703703703703,0.009939889633104531,0.0016935271850706786
Cuthbert Binns,0.033707865168539325,3,0.0,0.483695652173913,0.030403533942612186,0.0017503247498272863
